"county","MEDIAN_AGE","POVERTY_RATE","MEDIAN_HOUSEHOLD_INCOME","PCT_NO_HEALTHCARE","PCT_WITH_A_DISABILITY","PCT_SNAP_ASSISTANCE","AHOLD.DELHAIZE.USA.INC","ALBERTSONS.CO.INC","COSTCO.WHOLESALE.CORP","DOLLAR.GENERAL.CORP","DOLLAR.TREE.INC","KROGER.CO","LONE.STAR.FUNDS","MEIJER.INC","PUBLIX.SUPER.MARKETS.INC","TARGET.CORP","TRADER.JOE.S","WAKEFERN.FOOD.CORP.INC","WALMART.INC","WEGMANS.FOOD.MARKETS.INC","TOTAL_POPULATION"
" Trempealeau County",40.775,0.0745158240865585,65256,0.0719261572189971,0.102979664333435,0.0903302886318899,NA,NA,NA,0.1182375,0.0176,NA,NA,NA,NA,NA,NA,NA,NA,NA,30504
" Treutlen County",37.4,0.318847149279116,40505.5,0.199062083801868,0.251538115871216,0.222304605966324,NA,NA,NA,0.23375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6410
" Trigg County",41.35,0.309268751650885,55320.4,0.0842456320037258,0.347766920447278,0.104895330826957,NA,NA,NA,0.26035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14067
" Trimble County",43.2,0.136975234283042,58724.5,0.0530438075952429,0.202919585949798,0.114465238543628,NA,NA,NA,0.222,0.0233,NA,NA,NA,NA,NA,NA,NA,0.9162,NA,8502
" Trinity County",49.7555555555556,0.199256009996981,44396.5555555556,0.162297037269426,0.245099429117355,0.135970533798065,NA,NA,NA,0.230983333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29513
" Tripp County",42.1,0.207323140477884,53618,0.0933809906038757,0.0702608477914373,0.116220981349496,NA,NA,NA,0.0685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5615
" Troup County",37.7888888888889,0.181438116134058,50656.3888888889,0.103471965101975,0.214393367195826,0.175378773516158,NA,NA,NA,0.0540611111111111,0.02576875,0.118625,NA,NA,0.172853333333333,NA,NA,NA,0.4013,NA,69483
" Trousdale County",32.75,0.130854817582439,57029,0.0727852961845488,0.131771306296203,0.176888170509253,NA,NA,NA,0.13135,0.1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,11463
" Trumbull County",44.0796296296296,0.180396442499653,49902.2222222222,0.0668275691792847,0.186437087033758,0.152431748629609,NA,NA,NA,0.0682907407407407,0.0268134615384615,NA,NA,NA,NA,0.0943684210526316,NA,NA,0.324891891891892,NA,202199
" Tucker County",51.0333333333333,0.0987099798153137,49322.3333333333,0.0554930480150158,0.240967391947572,0.108188166358669,NA,NA,NA,0.1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6822
" Tulare County",32.8058252427184,0.211064855277361,57013.6862745098,0.0772482358277307,0.127063999451844,0.252376433198603,NA,NA,0.12523,0.0265035294117647,0.0426617021276596,0.106709090909091,NA,NA,NA,0.144463043478261,NA,NA,0.281291891891892,NA,470999
